##Databases: KEGG PATHWAY, Gene Ontology
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
recycling endosome membrane	Gene Ontology	GO:0055038	1	45	0.408353948149	0.528096835201	ENSMUSG00000032193	http://amigo.geneontology.org/amigo/term/GO:0055038
protein kinase binding	Gene Ontology	GO:0019901	7	531	0.409680624409	0.529009430629	ENSMUSG00000027799|ENSMUSG00000056724|ENSMUSG00000003452|ENSMUSG00000035458|ENSMUSG00000002948|ENSMUSG00000036737|ENSMUSG00000036882	http://amigo.geneontology.org/amigo/term/GO:0019901
positive regulation of gene expression	Gene Ontology	GO:0010628	7	531	0.409680624409	0.529009430629	ENSMUSG00000041378|ENSMUSG00000037583|ENSMUSG00000057103|ENSMUSG00000000568|ENSMUSG00000059327|ENSMUSG00000032193|ENSMUSG00000017146	http://amigo.geneontology.org/amigo/term/GO:0010628
membrane raft	Gene Ontology	GO:0045121	4	283	0.409898427749	0.529009430629	ENSMUSG00000045954|ENSMUSG00000046908|ENSMUSG00000024778|ENSMUSG00000036273	http://amigo.geneontology.org/amigo/term/GO:0045121
adult walking behavior	Gene Ontology	GO:0007628	1	46	0.4150723769	0.531413086948	ENSMUSG00000026596	http://amigo.geneontology.org/amigo/term/GO:0007628
lysosome organization	Gene Ontology	GO:0007040	1	46	0.4150723769	0.531413086948	ENSMUSG00000036273	http://amigo.geneontology.org/amigo/term/GO:0007040
cellular response to retinoic acid	Gene Ontology	GO:0071300	1	46	0.4150723769	0.531413086948	ENSMUSG00000026596	http://amigo.geneontology.org/amigo/term/GO:0071300
translation initiation factor activity	Gene Ontology	GO:0003743	1	46	0.4150723769	0.531413086948	ENSMUSG00000056076	http://amigo.geneontology.org/amigo/term/GO:0003743
response to peptide hormone	Gene Ontology	GO:0043434	1	46	0.4150723769	0.531413086948	ENSMUSG00000066363	http://amigo.geneontology.org/amigo/term/GO:0043434
positive regulation of vasoconstriction	Gene Ontology	GO:0045907	1	46	0.4150723769	0.531413086948	ENSMUSG00000036867	http://amigo.geneontology.org/amigo/term/GO:0045907
fibroblast growth factor receptor signaling pathway	Gene Ontology	GO:0008543	1	46	0.4150723769	0.531413086948	ENSMUSG00000054252	http://amigo.geneontology.org/amigo/term/GO:0008543
embryonic organ development	Gene Ontology	GO:0048568	1	46	0.4150723769	0.531413086948	ENSMUSG00000020319	http://amigo.geneontology.org/amigo/term/GO:0048568
Z disc	Gene Ontology	GO:0030018	2	123	0.415131364963	0.531413086948	ENSMUSG00000006574|ENSMUSG00000030470	http://amigo.geneontology.org/amigo/term/GO:0030018
lysosomal membrane	Gene Ontology	GO:0005765	2	124	0.419049797435	0.535342482611	ENSMUSG00000036503|ENSMUSG00000029408	http://amigo.geneontology.org/amigo/term/GO:0005765
fibrillar center	Gene Ontology	GO:0001650	2	124	0.419049797435	0.535342482611	ENSMUSG00000039158|ENSMUSG00000055053	http://amigo.geneontology.org/amigo/term/GO:0001650
endoplasmic reticulum membrane	Gene Ontology	GO:0005789	5	370	0.420606015741	0.536573209416	ENSMUSG00000057103|ENSMUSG00000031982|ENSMUSG00000029408|ENSMUSG00000036564|ENSMUSG00000059327	http://amigo.geneontology.org/amigo/term/GO:0005789
Ras protein signal transduction	Gene Ontology	GO:0007265	1	47	0.421714779282	0.536573209416	ENSMUSG00000036120	http://amigo.geneontology.org/amigo/term/GO:0007265
photoreceptor connecting cilium	Gene Ontology	GO:0032391	1	47	0.421714779282	0.536573209416	ENSMUSG00000040040	http://amigo.geneontology.org/amigo/term/GO:0032391
cellular response to heat	Gene Ontology	GO:0034605	1	47	0.421714779282	0.536573209416	ENSMUSG00000074158	http://amigo.geneontology.org/amigo/term/GO:0034605
response to UV	Gene Ontology	GO:0009411	1	47	0.421714779282	0.536573209416	ENSMUSG00000002948	http://amigo.geneontology.org/amigo/term/GO:0009411
negative regulation of cell migration	Gene Ontology	GO:0030336	2	125	0.422954898026	0.537789426792	ENSMUSG00000032125|ENSMUSG00000041378	http://amigo.geneontology.org/amigo/term/GO:0030336
apical part of cell	Gene Ontology	GO:0045177	2	126	0.42684646518	0.542013088884	ENSMUSG00000032193|ENSMUSG00000059327	http://amigo.geneontology.org/amigo/term/GO:0045177
dendrite morphogenesis	Gene Ontology	GO:0048813	1	48	0.428282012622	0.542013088884	ENSMUSG00000026596	http://amigo.geneontology.org/amigo/term/GO:0048813
neural tube development	Gene Ontology	GO:0021915	1	48	0.428282012622	0.542013088884	ENSMUSG00000049532	http://amigo.geneontology.org/amigo/term/GO:0021915
Hsp90 protein binding	Gene Ontology	GO:0051879	1	48	0.428282012622	0.542013088884	ENSMUSG00000067567	http://amigo.geneontology.org/amigo/term/GO:0051879
response to glucose	Gene Ontology	GO:0009749	1	48	0.428282012622	0.542013088884	ENSMUSG00000037583	http://amigo.geneontology.org/amigo/term/GO:0009749
serine-type endopeptidase inhibitor activity	Gene Ontology	GO:0004867	2	127	0.430724303582	0.544739560412	ENSMUSG00000066363|ENSMUSG00000026249	http://amigo.geneontology.org/amigo/term/GO:0004867
integral component of plasma membrane	Gene Ontology	GO:0005887	15	1224	0.434287310901	0.545486841755	ENSMUSG00000032816|ENSMUSG00000044367|ENSMUSG00000032204|ENSMUSG00000044017|ENSMUSG00000030737|ENSMUSG00000031398|ENSMUSG00000054252|ENSMUSG00000046908|ENSMUSG00000059327|ENSMUSG00000026580|ENSMUSG00000031785|ENSMUSG00000006574|ENSMUSG00000050350|ENSMUSG00000054293|ENSMUSG00000030159	http://amigo.geneontology.org/amigo/term/GO:0005887
translational initiation	Gene Ontology	GO:0006413	1	49	0.434774924613	0.545486841755	ENSMUSG00000056076	http://amigo.geneontology.org/amigo/term/GO:0006413
aging	Gene Ontology	GO:0007568	1	49	0.434774924613	0.545486841755	ENSMUSG00000039176	http://amigo.geneontology.org/amigo/term/GO:0007568
response to insulin	Gene Ontology	GO:0032868	1	49	0.434774924613	0.545486841755	ENSMUSG00000035284	http://amigo.geneontology.org/amigo/term/GO:0032868
placenta development	Gene Ontology	GO:0001890	1	49	0.434774924613	0.545486841755	ENSMUSG00000068114	http://amigo.geneontology.org/amigo/term/GO:0001890
positive regulation of pathway-restricted SMAD protein phosphorylation	Gene Ontology	GO:0010862	1	49	0.434774924613	0.545486841755	ENSMUSG00000025352	http://amigo.geneontology.org/amigo/term/GO:0010862
intermediate filament cytoskeleton	Gene Ontology	GO:0045111	1	49	0.434774924613	0.545486841755	ENSMUSG00000050357	http://amigo.geneontology.org/amigo/term/GO:0045111
repressing transcription factor binding	Gene Ontology	GO:0070491	1	49	0.434774924613	0.545486841755	ENSMUSG00000006715	http://amigo.geneontology.org/amigo/term/GO:0070491
kinesin binding	Gene Ontology	GO:0019894	1	49	0.434774924613	0.545486841755	ENSMUSG00000040040	http://amigo.geneontology.org/amigo/term/GO:0019894
catalytic activity	Gene Ontology	GO:0003824	6	463	0.440116157999	0.547729472881	ENSMUSG00000056310|ENSMUSG00000025648|ENSMUSG00000039145|ENSMUSG00000021786|ENSMUSG00000040434|ENSMUSG00000006442	http://amigo.geneontology.org/amigo/term/GO:0003824
GTPase activity	Gene Ontology	GO:0003924	4	295	0.440235185602	0.547729472881	ENSMUSG00000041658|ENSMUSG00000062591|ENSMUSG00000064147|ENSMUSG00000036273	http://amigo.geneontology.org/amigo/term/GO:0003924
dorsal/ventral pattern formation	Gene Ontology	GO:0009953	1	50	0.44119435342	0.547729472881	ENSMUSG00000040040	http://amigo.geneontology.org/amigo/term/GO:0009953
cellular response to transforming growth factor beta stimulus	Gene Ontology	GO:0071560	1	50	0.44119435342	0.547729472881	ENSMUSG00000004637	http://amigo.geneontology.org/amigo/term/GO:0071560
hippocampal mossy fiber to CA3 synapse	Gene Ontology	GO:0098686	1	50	0.44119435342	0.547729472881	ENSMUSG00000032589	http://amigo.geneontology.org/amigo/term/GO:0098686
Hsp70 protein binding	Gene Ontology	GO:0030544	1	50	0.44119435342	0.547729472881	ENSMUSG00000067567	http://amigo.geneontology.org/amigo/term/GO:0030544
ovarian follicle development	Gene Ontology	GO:0001541	1	50	0.44119435342	0.547729472881	ENSMUSG00000006307	http://amigo.geneontology.org/amigo/term/GO:0001541
keratinocyte differentiation	Gene Ontology	GO:0030216	1	50	0.44119435342	0.547729472881	ENSMUSG00000026638	http://amigo.geneontology.org/amigo/term/GO:0030216
negative regulation of interleukin-6 production	Gene Ontology	GO:0032715	1	50	0.44119435342	0.547729472881	ENSMUSG00000032109	http://amigo.geneontology.org/amigo/term/GO:0032715
negative regulation of phosphatase activity	Gene Ontology	GO:0010923	1	50	0.44119435342	0.547729472881	ENSMUSG00000023764	http://amigo.geneontology.org/amigo/term/GO:0010923
adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway	Gene Ontology	GO:0007193	1	50	0.44119435342	0.547729472881	ENSMUSG00000035863	http://amigo.geneontology.org/amigo/term/GO:0007193
positive regulation of protein-containing complex assembly	Gene Ontology	GO:0031334	1	50	0.44119435342	0.547729472881	ENSMUSG00000024778	http://amigo.geneontology.org/amigo/term/GO:0031334
positive regulation of cell differentiation	Gene Ontology	GO:0045597	1	50	0.44119435342	0.547729472881	ENSMUSG00000054252	http://amigo.geneontology.org/amigo/term/GO:0045597
erythrocyte differentiation	Gene Ontology	GO:0030218	1	50	0.44119435342	0.547729472881	ENSMUSG00000073400	http://amigo.geneontology.org/amigo/term/GO:0030218
response to toxic substance	Gene Ontology	GO:0009636	1	50	0.44119435342	0.547729472881	ENSMUSG00000024778	http://amigo.geneontology.org/amigo/term/GO:0009636
regulation of cell cycle	Gene Ontology	GO:0051726	2	130	0.442273584403	0.548709260124	ENSMUSG00000018983|ENSMUSG00000023965	http://amigo.geneontology.org/amigo/term/GO:0051726
cytoplasmic vesicle	Gene Ontology	GO:0031410	10	806	0.44607471182	0.552700297815	ENSMUSG00000032812|ENSMUSG00000057530|ENSMUSG00000036273|ENSMUSG00000045629|ENSMUSG00000054252|ENSMUSG00000003452|ENSMUSG00000032589|ENSMUSG00000038195|ENSMUSG00000026596|ENSMUSG00000050350	http://amigo.geneontology.org/amigo/term/GO:0031410
positive regulation of actin filament polymerization	Gene Ontology	GO:0030838	1	51	0.44754112779	0.553068460992	ENSMUSG00000063838	http://amigo.geneontology.org/amigo/term/GO:0030838
protein destabilization	Gene Ontology	GO:0031648	1	51	0.44754112779	0.553068460992	ENSMUSG00000021182	http://amigo.geneontology.org/amigo/term/GO:0031648
damaged DNA binding	Gene Ontology	GO:0003684	1	51	0.44754112779	0.553068460992	ENSMUSG00000017146	http://amigo.geneontology.org/amigo/term/GO:0003684
muscle contraction	Gene Ontology	GO:0006936	1	51	0.44754112779	0.553068460992	ENSMUSG00000035458	http://amigo.geneontology.org/amigo/term/GO:0006936
receptor complex	Gene Ontology	GO:0043235	3	215	0.449929284788	0.555656792963	ENSMUSG00000032193|ENSMUSG00000054252|ENSMUSG00000017417	http://amigo.geneontology.org/amigo/term/GO:0043235
ubiquitin protein ligase binding	Gene Ontology	GO:0031625	4	299	0.450251033546	0.555691425616	ENSMUSG00000027300|ENSMUSG00000028416|ENSMUSG00000036867|ENSMUSG00000017146	http://amigo.geneontology.org/amigo/term/GO:0031625
ATPase-coupled transmembrane transporter activity	Gene Ontology	GO:0042626	1	52	0.453816067156	0.556101035661	ENSMUSG00000029408	http://amigo.geneontology.org/amigo/term/GO:0042626
positive regulation of endothelial cell migration	Gene Ontology	GO:0010595	1	52	0.453816067156	0.556101035661	ENSMUSG00000029484	http://amigo.geneontology.org/amigo/term/GO:0010595
positive regulation of insulin secretion	Gene Ontology	GO:0032024	1	52	0.453816067156	0.556101035661	ENSMUSG00000037583	http://amigo.geneontology.org/amigo/term/GO:0032024
negative regulation of protein ubiquitination	Gene Ontology	GO:0031397	1	52	0.453816067156	0.556101035661	ENSMUSG00000067567	http://amigo.geneontology.org/amigo/term/GO:0031397
cellular response to glucose stimulus	Gene Ontology	GO:0071333	1	52	0.453816067156	0.556101035661	ENSMUSG00000022708	http://amigo.geneontology.org/amigo/term/GO:0071333
exogenous drug catabolic process	Gene Ontology	GO:0042738	1	52	0.453816067156	0.556101035661	ENSMUSG00000028713	http://amigo.geneontology.org/amigo/term/GO:0042738
negative regulation of BMP signaling pathway	Gene Ontology	GO:0030514	1	52	0.453816067156	0.556101035661	ENSMUSG00000036867	http://amigo.geneontology.org/amigo/term/GO:0030514
steroid hormone receptor activity	Gene Ontology	GO:0003707	1	52	0.453816067156	0.556101035661	ENSMUSG00000037583	http://amigo.geneontology.org/amigo/term/GO:0003707
positive regulation of protein import into nucleus	Gene Ontology	GO:0042307	1	52	0.453816067156	0.556101035661	ENSMUSG00000017146	http://amigo.geneontology.org/amigo/term/GO:0042307
apoptotic signaling pathway	Gene Ontology	GO:0097190	1	52	0.453816067156	0.556101035661	ENSMUSG00000024778	http://amigo.geneontology.org/amigo/term/GO:0097190
regulation of transcription by RNA polymerase II	Gene Ontology	GO:0006357	8	642	0.456880660733	0.559493987124	ENSMUSG00000022708|ENSMUSG00000029135|ENSMUSG00000049532|ENSMUSG00000039699|ENSMUSG00000017146|ENSMUSG00000022109|ENSMUSG00000036120|ENSMUSG00000034329	http://amigo.geneontology.org/amigo/term/GO:0006357
postsynaptic membrane	Gene Ontology	GO:0045211	3	218	0.458760198999	0.561069357793	ENSMUSG00000027799|ENSMUSG00000096883|ENSMUSG00000034275	http://amigo.geneontology.org/amigo/term/GO:0045211
ATPase activity	Gene Ontology	GO:0016887	3	218	0.458760198999	0.561069357793	ENSMUSG00000029408|ENSMUSG00000040177|ENSMUSG00000019027	http://amigo.geneontology.org/amigo/term/GO:0016887
negative regulation of tumor necrosis factor production	Gene Ontology	GO:0032720	1	53	0.460019981742	0.561850429806	ENSMUSG00000050350	http://amigo.geneontology.org/amigo/term/GO:0032720
synapse assembly	Gene Ontology	GO:0007416	1	53	0.460019981742	0.561850429806	ENSMUSG00000032589	http://amigo.geneontology.org/amigo/term/GO:0007416
G protein-coupled receptor activity	Gene Ontology	GO:0004930	8	644	0.460289728435	0.561850429806	ENSMUSG00000044017|ENSMUSG00000050350|ENSMUSG00000046908|ENSMUSG00000031785|ENSMUSG00000045569|ENSMUSG00000054293|ENSMUSG00000062585|ENSMUSG00000037872	http://amigo.geneontology.org/amigo/term/GO:0004930
cellular response to organic cyclic compound	Gene Ontology	GO:0071407	1	54	0.466153672663	0.56608648824	ENSMUSG00000036273	http://amigo.geneontology.org/amigo/term/GO:0071407
negative regulation of fat cell differentiation	Gene Ontology	GO:0045599	1	54	0.466153672663	0.56608648824	ENSMUSG00000000901	http://amigo.geneontology.org/amigo/term/GO:0045599
synaptic membrane	Gene Ontology	GO:0097060	1	54	0.466153672663	0.56608648824	ENSMUSG00000032589	http://amigo.geneontology.org/amigo/term/GO:0097060
non-motile cilium assembly	Gene Ontology	GO:1905515	1	54	0.466153672663	0.56608648824	ENSMUSG00000040040	http://amigo.geneontology.org/amigo/term/GO:1905515
positive regulation of tyrosine phosphorylation of STAT protein	Gene Ontology	GO:0042531	1	54	0.466153672663	0.56608648824	ENSMUSG00000054252	http://amigo.geneontology.org/amigo/term/GO:0042531
exonuclease activity	Gene Ontology	GO:0004527	1	54	0.466153672663	0.56608648824	ENSMUSG00000039176	http://amigo.geneontology.org/amigo/term/GO:0004527
negative regulation of Wnt signaling pathway	Gene Ontology	GO:0030178	1	54	0.466153672663	0.56608648824	ENSMUSG00000004637	http://amigo.geneontology.org/amigo/term/GO:0030178
positive regulation of interleukin-1 beta production	Gene Ontology	GO:0032731	1	54	0.466153672663	0.56608648824	ENSMUSG00000041135	http://amigo.geneontology.org/amigo/term/GO:0032731
regulation of cell population proliferation	Gene Ontology	GO:0042127	3	221	0.467530703693	0.567394542263	ENSMUSG00000027318|ENSMUSG00000024778|ENSMUSG00000034612	http://amigo.geneontology.org/amigo/term/GO:0042127
intrinsic apoptotic signaling pathway in response to DNA damage	Gene Ontology	GO:0008630	1	55	0.472217932031	0.570885832206	ENSMUSG00000017146	http://amigo.geneontology.org/amigo/term/GO:0008630
epidermis development	Gene Ontology	GO:0008544	1	55	0.472217932031	0.570885832206	ENSMUSG00000040040	http://amigo.geneontology.org/amigo/term/GO:0008544
transmembrane receptor protein tyrosine kinase activity	Gene Ontology	GO:0004714	1	55	0.472217932031	0.570885832206	ENSMUSG00000054252	http://amigo.geneontology.org/amigo/term/GO:0004714
response to virus	Gene Ontology	GO:0009615	1	55	0.472217932031	0.570885832206	ENSMUSG00000032690	http://amigo.geneontology.org/amigo/term/GO:0009615
thymus development	Gene Ontology	GO:0048538	1	55	0.472217932031	0.570885832206	ENSMUSG00000050357	http://amigo.geneontology.org/amigo/term/GO:0048538
calcium-dependent phospholipid binding	Gene Ontology	GO:0005544	1	56	0.478213543055	0.576660308133	ENSMUSG00000029484	http://amigo.geneontology.org/amigo/term/GO:0005544
positive regulation of protein localization to plasma membrane	Gene Ontology	GO:1903078	1	56	0.478213543055	0.576660308133	ENSMUSG00000032290	http://amigo.geneontology.org/amigo/term/GO:1903078
copper ion binding	Gene Ontology	GO:0005507	1	56	0.478213543055	0.576660308133	ENSMUSG00000020544	http://amigo.geneontology.org/amigo/term/GO:0005507
mRNA binding	Gene Ontology	GO:0003729	3	225	0.479125890294	0.577267393229	ENSMUSG00000000568|ENSMUSG00000024268|ENSMUSG00000037296	http://amigo.geneontology.org/amigo/term/GO:0003729
Rab GTPase binding	Gene Ontology	GO:0017137	2	140	0.479808694668	0.577267393229	ENSMUSG00000038195|ENSMUSG00000003452	http://amigo.geneontology.org/amigo/term/GO:0017137
perikaryon	Gene Ontology	GO:0043204	2	140	0.479808694668	0.577267393229	ENSMUSG00000015337|ENSMUSG00000036273	http://amigo.geneontology.org/amigo/term/GO:0043204
lipid binding	Gene Ontology	GO:0008289	4	311	0.479937425766	0.577267393229	ENSMUSG00000071715|ENSMUSG00000022148|ENSMUSG00000026274|ENSMUSG00000045954	http://amigo.geneontology.org/amigo/term/GO:0008289
early endosome membrane	Gene Ontology	GO:0031901	1	57	0.484141280139	0.580478645135	ENSMUSG00000058486	http://amigo.geneontology.org/amigo/term/GO:0031901
basal plasma membrane	Gene Ontology	GO:0009925	1	57	0.484141280139	0.580478645135	ENSMUSG00000030737	http://amigo.geneontology.org/amigo/term/GO:0009925
protein serine/threonine phosphatase activity	Gene Ontology	GO:0004722	1	57	0.484141280139	0.580478645135	ENSMUSG00000036273	http://amigo.geneontology.org/amigo/term/GO:0004722
collagen-containing extracellular matrix	Gene Ontology	GO:0062023	4	313	0.484826309042	0.580931840853	ENSMUSG00000038742|ENSMUSG00000043822|ENSMUSG00000026249|ENSMUSG00000029484	http://amigo.geneontology.org/amigo/term/GO:0062023
amyloid-beta binding	Gene Ontology	GO:0001540	1	58	0.490001908982	0.586019982171	ENSMUSG00000032193	http://amigo.geneontology.org/amigo/term/GO:0001540
cellular response to interleukin-1	Gene Ontology	GO:0071347	1	58	0.490001908982	0.586019982171	ENSMUSG00000002948	http://amigo.geneontology.org/amigo/term/GO:0071347
positive regulation of MAP kinase activity	Gene Ontology	GO:0043406	1	58	0.490001908982	0.586019982171	ENSMUSG00000066406	http://amigo.geneontology.org/amigo/term/GO:0043406
positive regulation of cysteine-type endopeptidase activity involved in apoptotic process	Gene Ontology	GO:0043280	1	59	0.495796186676	0.590337561479	ENSMUSG00000024778	http://amigo.geneontology.org/amigo/term/GO:0043280
SMAD binding	Gene Ontology	GO:0046332	1	59	0.495796186676	0.590337561479	ENSMUSG00000075600	http://amigo.geneontology.org/amigo/term/GO:0046332
embryonic skeletal system morphogenesis	Gene Ontology	GO:0048704	1	59	0.495796186676	0.590337561479	ENSMUSG00000034612	http://amigo.geneontology.org/amigo/term/GO:0048704
insulin receptor signaling pathway	Gene Ontology	GO:0008286	1	59	0.495796186676	0.590337561479	ENSMUSG00000030470	http://amigo.geneontology.org/amigo/term/GO:0008286
structural constituent of cytoskeleton	Gene Ontology	GO:0005200	1	59	0.495796186676	0.590337561479	ENSMUSG00000062591	http://amigo.geneontology.org/amigo/term/GO:0005200
inner ear development	Gene Ontology	GO:0048839	1	60	0.501524861799	0.594601296855	ENSMUSG00000054252	http://amigo.geneontology.org/amigo/term/GO:0048839
hippocampus development	Gene Ontology	GO:0021766	1	60	0.501524861799	0.594601296855	ENSMUSG00000031398	http://amigo.geneontology.org/amigo/term/GO:0021766
G1/S transition of mitotic cell cycle	Gene Ontology	GO:0000082	1	60	0.501524861799	0.594601296855	ENSMUSG00000028680	http://amigo.geneontology.org/amigo/term/GO:0000082
microtubule organizing center	Gene Ontology	GO:0005815	1	60	0.501524861799	0.594601296855	ENSMUSG00000038170	http://amigo.geneontology.org/amigo/term/GO:0005815
cellular response to lipopolysaccharide	Gene Ontology	GO:0071222	3	234	0.504772447922	0.597640470256	ENSMUSG00000002948|ENSMUSG00000041135|ENSMUSG00000022901	http://amigo.geneontology.org/amigo/term/GO:0071222
RNA polymerase II activating transcription factor binding	Gene Ontology	GO:0001102	1	61	0.507188674516	0.599375997617	ENSMUSG00000056770	http://amigo.geneontology.org/amigo/term/GO:0001102
actin cytoskeleton reorganization	Gene Ontology	GO:0031532	1	61	0.507188674516	0.599375997617	ENSMUSG00000022438	http://amigo.geneontology.org/amigo/term/GO:0031532
positive regulation of phagocytosis	Gene Ontology	GO:0050766	1	61	0.507188674516	0.599375997617	ENSMUSG00000039145	http://amigo.geneontology.org/amigo/term/GO:0050766
protein processing	Gene Ontology	GO:0016485	1	62	0.51278835667	0.602688074002	ENSMUSG00000057530	http://amigo.geneontology.org/amigo/term/GO:0016485
embryonic limb morphogenesis	Gene Ontology	GO:0030326	1	62	0.51278835667	0.602688074002	ENSMUSG00000034612	http://amigo.geneontology.org/amigo/term/GO:0030326
heart looping	Gene Ontology	GO:0001947	1	62	0.51278835667	0.602688074002	ENSMUSG00000039963	http://amigo.geneontology.org/amigo/term/GO:0001947
regulation of blood pressure	Gene Ontology	GO:0008217	1	62	0.51278835667	0.602688074002	ENSMUSG00000057530	http://amigo.geneontology.org/amigo/term/GO:0008217
manganese ion binding	Gene Ontology	GO:0030145	1	62	0.51278835667	0.602688074002	ENSMUSG00000026596	http://amigo.geneontology.org/amigo/term/GO:0030145
filopodium	Gene Ontology	GO:0030175	1	62	0.51278835667	0.602688074002	ENSMUSG00000035863	http://amigo.geneontology.org/amigo/term/GO:0030175
neuromuscular process controlling balance	Gene Ontology	GO:0050885	1	62	0.51278835667	0.602688074002	ENSMUSG00000026596	http://amigo.geneontology.org/amigo/term/GO:0050885
GTPase activator activity	Gene Ontology	GO:0005096	3	237	0.513176790284	0.602688074002	ENSMUSG00000036882|ENSMUSG00000032812|ENSMUSG00000036273	http://amigo.geneontology.org/amigo/term/GO:0005096
positive regulation of protein phosphorylation	Gene Ontology	GO:0001934	3	237	0.513176790284	0.602688074002	ENSMUSG00000002948|ENSMUSG00000024778|ENSMUSG00000036273	http://amigo.geneontology.org/amigo/term/GO:0001934
hydrolase activity	Gene Ontology	GO:0016787	18	1552	0.514949082214	0.60422258697	ENSMUSG00000027318|ENSMUSG00000017718|ENSMUSG00000040177|ENSMUSG00000057530|ENSMUSG00000036273|ENSMUSG00000025648|ENSMUSG00000000901|ENSMUSG00000004347|ENSMUSG00000026072|ENSMUSG00000020323|ENSMUSG00000041658|ENSMUSG00000015337|ENSMUSG00000034329|ENSMUSG00000032290|ENSMUSG00000026070|ENSMUSG00000030760|ENSMUSG00000037049|ENSMUSG00000067567	http://amigo.geneontology.org/amigo/term/GO:0016787
kidney development	Gene Ontology	GO:0001822	2	150	0.515760823444	0.60422258697	ENSMUSG00000040040|ENSMUSG00000020319	http://amigo.geneontology.org/amigo/term/GO:0001822
iron ion binding	Gene Ontology	GO:0005506	2	150	0.515760823444	0.60422258697	ENSMUSG00000028713|ENSMUSG00000028641	http://amigo.geneontology.org/amigo/term/GO:0005506
chromatin	Gene Ontology	GO:0000785	2	150	0.515760823444	0.60422258697	ENSMUSG00000036928|ENSMUSG00000028680	http://amigo.geneontology.org/amigo/term/GO:0000785
cellular response to growth factor stimulus	Gene Ontology	GO:0071363	1	63	0.518324631872	0.604978533931	ENSMUSG00000001964	http://amigo.geneontology.org/amigo/term/GO:0071363
MAPK cascade	Gene Ontology	GO:0000165	1	63	0.518324631872	0.604978533931	ENSMUSG00000036273	http://amigo.geneontology.org/amigo/term/GO:0000165
negative regulation of osteoblast differentiation	Gene Ontology	GO:0045668	1	63	0.518324631872	0.604978533931	ENSMUSG00000036867	http://amigo.geneontology.org/amigo/term/GO:0045668
endoplasmic reticulum-Golgi intermediate compartment	Gene Ontology	GO:0005793	1	63	0.518324631872	0.604978533931	ENSMUSG00000057103	http://amigo.geneontology.org/amigo/term/GO:0005793
T-tubule	Gene Ontology	GO:0030315	1	63	0.518324631872	0.604978533931	ENSMUSG00000030401	http://amigo.geneontology.org/amigo/term/GO:0030315
rhythmic process	Gene Ontology	GO:0048511	2	151	0.519264935576	0.605329179365	ENSMUSG00000000568|ENSMUSG00000037583	http://amigo.geneontology.org/amigo/term/GO:0048511
positive regulation of angiogenesis	Gene Ontology	GO:0045766	2	151	0.519264935576	0.605329179365	ENSMUSG00000017146|ENSMUSG00000029484	http://amigo.geneontology.org/amigo/term/GO:0045766
phosphatidylserine binding	Gene Ontology	GO:0001786	1	64	0.523798215601	0.609487222581	ENSMUSG00000045954	http://amigo.geneontology.org/amigo/term/GO:0001786
steroid biosynthetic process	Gene Ontology	GO:0006694	1	64	0.523798215601	0.609487222581	ENSMUSG00000059743	http://amigo.geneontology.org/amigo/term/GO:0006694
double-strand break repair	Gene Ontology	GO:0006302	1	64	0.523798215601	0.609487222581	ENSMUSG00000017146	http://amigo.geneontology.org/amigo/term/GO:0006302
transmembrane transporter activity	Gene Ontology	GO:0022857	2	153	0.526222425824	0.611931671579	ENSMUSG00000029408|ENSMUSG00000029924	http://amigo.geneontology.org/amigo/term/GO:0022857
protein self-association	Gene Ontology	GO:0043621	1	65	0.529209815288	0.613896364515	ENSMUSG00000021182	http://amigo.geneontology.org/amigo/term/GO:0043621
microtubule motor activity	Gene Ontology	GO:0003777	1	65	0.529209815288	0.613896364515	ENSMUSG00000019027	http://amigo.geneontology.org/amigo/term/GO:0003777
clathrin-coated pit	Gene Ontology	GO:0005905	1	65	0.529209815288	0.613896364515	ENSMUSG00000032193	http://amigo.geneontology.org/amigo/term/GO:0005905
muscle organ development	Gene Ontology	GO:0007517	1	65	0.529209815288	0.613896364515	ENSMUSG00000030470	http://amigo.geneontology.org/amigo/term/GO:0007517
defense response to bacterium	Gene Ontology	GO:0042742	2	155	0.533111832856	0.617830034659	ENSMUSG00000031722|ENSMUSG00000029484	http://amigo.geneontology.org/amigo/term/GO:0042742
receptor-mediated endocytosis	Gene Ontology	GO:0006898	1	66	0.53456013041	0.617830034659	ENSMUSG00000032193	http://amigo.geneontology.org/amigo/term/GO:0006898
regulation of circadian rhythm	Gene Ontology	GO:0042752	1	66	0.53456013041	0.617830034659	ENSMUSG00000000568	http://amigo.geneontology.org/amigo/term/GO:0042752
extracellular region	Gene Ontology	GO:0005576	19	1661	0.53818641421	0.621262169424	ENSMUSG00000031785|ENSMUSG00000026249|ENSMUSG00000097328|ENSMUSG00000000901|ENSMUSG00000043822|ENSMUSG00000059327|ENSMUSG00000026072|ENSMUSG00000038742|ENSMUSG00000038593|ENSMUSG00000068114|ENSMUSG00000032840|ENSMUSG00000020044|ENSMUSG00000025352|ENSMUSG00000020323|ENSMUSG00000028641|ENSMUSG00000057778|ENSMUSG00000037049|ENSMUSG00000024778|ENSMUSG00000031722	http://amigo.geneontology.org/amigo/term/GO:0005576
